id;datasource_id;name;status;process_group_id;schedule;configuration;record_status;version
1;46770;bottom-line;RESUMING;c2051a61-5227-4447-9b39-740788e054ff;application Handmade green;pricing structure deposit;DELETED;35561
2;93001;reboot;SCHEDULED;59a0f9f6-787f-4f80-a712-7edf7d99b368;application Secured;Junctions multi-state Generic Cotton Chicken;DELETED;77722
3;93611;Regional;ACTIVE;158c1f24-ef09-424c-af19-8662c0c4a27a;Health exploit EXE;Isle of Man;ARCHIVED;87828
4;6288;HDD synthesize silver;ACTIVE;5e469a6b-91f7-4321-8b2d-4727777e2573;Tuna;parse Chicken Ergonomic Fresh Car;DRAFT;7044
5;13446;Bacon Wooden;ACTIVE;c89de02f-d934-4ea0-b486-c40be8b4be24;Generic Cotton Salad Gorgeous Soft Towels COM;Customer-focused;ARCHIVED;37304
6;97749;teal methodologies;SCHEDULED;9653df82-9828-4027-b692-7369764ed234;Investor;Gorgeous;DRAFT;8346
7;40196;Costa Rica;SCHEDULING;783fd721-2350-4d17-9f08-abd0fb701f43;channels;Reduced Checking Account Checking Account;DRAFT;50846
8;90324;pink methodologies;STOPPED;80778139-8a65-4c16-a82c-0205984fe394;Intelligent Rubber Bike capacitor;Personal Loan Account Jordan;ACTIVE;92919
9;56599;Buckinghamshire Refined Cotton Bacon;SCHEDULED;777b8b77-fa03-4ffa-8830-17be5f06dd8a;technologies JSON IB;Orchestrator Trinidad and Tobago Clothing;ARCHIVED;13002
10;33953;markets;SCHEDULING;afc49f77-adfe-446c-b498-0893f0793aac;Wooden;Virtual;ARCHIVED;40146
